"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
1438466,"Firefox","Site Identity and Permission Panels","nobody","UNCONFIRMED"," ---","Connection not secure/crossed padlock when using Twitter embed on HTTP page","2018-10-31 13:42:58",,"2018-02-15 02:28:42","Unspecified",15,,,,0,"Client Software"," --",,"58 Branch",0,6,
1496634,"Firefox","Site Identity and Permission Panels","nobody","UNCONFIRMED"," ---","Security indicator is sometimes completely missing on https URL, Search icon is displayed instead","2018-10-31 14:01:27",,"2018-10-04 18:51:54","Unspecified",4,,,,0,"Client Software"," --",,"62 Branch",1,2,
1193718,"Firefox","Site Identity and Permission Panels","nobody","NEW"," ---","[Control Center] After enabling protection on a mixed content site the site is displayed as secure when X-Frame-Options is used","2016-09-07 02:04:37",,"2015-08-12 05:21:36","All",7,,,,0,"Client Software"," --",,"42 Branch",0,3,
1484945,"Firefox","Site Identity and Permission Panels","nobody","NEW"," ---","Security Doorhanger: Some Items are not nicely aligned","2018-08-21 03:23:08",,"2018-08-21 02:56:58","Unspecified",2,,,,0,"Client Software"," --",,"Trunk",0,2,
1354551,"Firefox","Site Identity and Permission Panels","nobody","NEW"," ---","Permission prompts do not autofocus on showing","2018-04-20 10:56:42","1334496, 1345424","2017-04-07 07:24:58","Unspecified",2,,,,0,"Client Software","P2",,"unspecified",0,9,
1461743,"Firefox","Site Identity and Permission Panels","nobody","NEW"," ---","[meta] Privacy UI Improvements","2018-11-09 00:45:22","1224453, 1392541, 1451307, 1457512, 1461922, 1462468, 1462469, 1462470, 1462471, 1462579, 1464010, 1465228, 1465337, 1466235, 1468316, 1468319, 1468341, 1470020, 1471713, 1472535, 1472685, 1473189, 1473685, 1474238, 1476002, 1476217, 1476218, 1476220, 1476224, 1476317, 1476531, 1480900, 1481233, 1482281, 1483314, 1484247, 1484251, 1484312, 1484574, 1484583, 1484585, 1484586, 1484832, 1485318, 1485743, 1485827, 1486181, 1486257, 1486414, 1487048, 1487060, 1487068, 1487240, 1487396, 1488125, 1488933, 1488978, 1489007, 1490388, 1490552, 1490811, 1491061, 1491453, 1491455, 1492175, 1492576, 1492585, 1492870, 1493120, 1495454, 1495979, 1496240, 1496243, 1496244, 1496522, 1496557, 1496671, 1498219, 1501977, 1501980, 1501985, 1501986, 1501989, 1501990, 1501991, 1501992, 1502361, 1502374, 1502943, 1503465, 1503697, 1504703, 1504728, 1504729, 1504852, 1505198, 1506048","2018-05-15 10:04:02","Unspecified",4,,,,1,"Client Software","P2",,"unspecified",5,21,
1463942,"Firefox","Site Identity and Permission Panels","nobody","NEW"," ---","It should be easier to ""Never Allow"" web notifications","2018-10-04 14:06:09",1341742,"2018-05-23 17:38:17","All",7,,,,0,"Client Software","P2",,"Trunk",0,5,
1468355,"Firefox","Site Identity and Permission Panels","nobody","NEW"," ---","Clear Cookies and Site Data item in the control centre shows up with a noticeable delay","2018-07-02 22:28:46",1460768,"2018-06-12 09:38:03","Unspecified",3,,,,1,"Client Software","P2",,"unspecified",0,2,
1471723,"Firefox","Site Identity and Permission Panels","nobody","NEW"," ---","Always show an indicator for blocked permission requests in the identity block","2018-09-20 07:45:59",1476555,"2018-06-27 14:02:09","Unspecified",4,,,,1,"Client Software","P2",,"unspecified",1,3,
1478675,"Firefox","Site Identity and Permission Panels","nobody","NEW"," ---","A third of the time spent in browser.xul's onLoad listener is tracking protection init code eagerly accessing DOM nodes","2018-08-14 08:25:43",1475670,"2018-07-26 07:44:47","Unspecified",5,,,,0,"Client Software","P2",,"Trunk",0,3,
